,Article Title,Article Link,Fake
0,"'Do I want to deal with this dude right now?' Police officer first to arrive at the Atlanta Wendy's where intoxicated Rayshard Brooks was found came close to letting the incident slide, bodycam footage shows",https://www.dailymail.co.uk/ushome/index.html/news/article-8423709/Cop-came-close-letting-Rayshard-Brooks-incident-go.html,0
1,San Francisco Karen's boyfriend is FIRED by investment bank for accusing Filipino resident of vandalism because he was painting a Black Lives Matter slogan on his own property,https://www.dailymail.co.uk/ushome/index.html/news/article-8423607/Investment-bank-fires-white-man-filmed-San-Francisco-Karen.html,0
2,Trump will unveil police reform plan on Tuesday that WILL say there is 'systemic racism' and will meet black families who have suffered at hands of cops ,https://www.dailymail.co.uk/ushome/index.html/news/article-8423783/Donald-Trump-unveil-police-reform-plan-Tuesday-say-systemic-racism.html,0
3,John Bolton will break his silence on Donald Trump in primetime special interview on blockbuster book as the White House moves to block it days before publication ,https://www.dailymail.co.uk/ushome/index.html/news/article-8423141/Bolton-break-silence-Trump-primetime-special-White-House-seeks-block-book.html,0
4,FDA REVOKES emergency approval for hydroxychloroquine to treat coronavirus after the malaria drug touted by Trump failed to help 75 patients in a Chinese clinical trial ,https://www.dailymail.co.uk/ushome/index.html/health/article-8423273/FDA-REVOKES-emergency-approval-hydroxychloroquine-treat-COVID-19.html,0
5,"Tyler Perry to pay for Rayshard Brooks' funeral after he was shot twice in back by Atlanta police, family lawyer announces: 'It's a step forward'",https://www.dailymail.co.uk/ushome/index.html/tvshowbiz/article-8423805/Tyler-Perry-pay-Rayshard-Brooks-funeral-shot-twice-Atlanta-police.html,0
6,"Las Vegas police officer, 29, who was shot in the head during George Floyd protests is paralyzed from neck down, on a ventilator and cannot speak",https://www.dailymail.co.uk/ushome/index.html/news/article-8423465/Las-Vegas-cop-shot-head-protests-paralyzed-neck-down.html,0
7,Supreme Court rules gay and lesbian people ARE protected from being fired for their sexuality by civil rights laws,https://www.dailymail.co.uk/ushome/index.html/news/article-8422623/Justices-rule-gay-workers-protected-job-discrimination.html,0
8,Supreme Court deals blow to Donald Trump by leaving California's sanctuary state law in place and refusing to review federal appeals court ruling that non-cooperation with ICE is legal,https://www.dailymail.co.uk/ushome/index.html/news/article-8422649/Supreme-Court-leaves-Californias-sanctuary-state-law-place.html,0
9,Donald Trump's supporters WILL be given masks for his comeback rally in Tulsa as he claims he is being 'COVID shamed' by 'the left' for holding it,https://www.dailymail.co.uk/ushome/index.html/news/article-8422085/Tulsas-public-health-chief-tells-Trump-cancel-planned-comeback-rally-city.html,0
10,"Fears of a second lockdown grow as coronavirus infections surge in 17 mostly southern states, bringing record number of new cases and hospitalizations",https://www.dailymail.co.uk/ushome/index.html/news/article-8423547/States-COVID-19-rise.html,0
11,Ohio State football players are asked to sign COVID-19 liability waiver - but the school curiously describes it as a 'pledge' rather than a legal document,https://www.dailymail.co.uk/ushome/index.html/news/article-8419813/Report-Ohio-State-players-sign-coronavirus-waiver.html,0
12,Study of coronavirus patients treated with an antibody drug used for cancer patients found some went from needing oxygen to being discharged from the hospital in FIVE DAYS ,https://www.dailymail.co.uk/ushome/index.html/health/article-8422493/Antibody-drug-shows-promise-treating-severe-COVID-19-patients.html,0
13,Terrifying doorbell camera video captures wild shootout between gangs of heavily-armed men in suburban neighborhood in Washington DC,https://www.dailymail.co.uk/ushome/index.html/news/article-8421975/Terrifying-doorbell-camera-video-captures-wild-shootout-gangs-heavily-armed-men-DC.html,0
14,Pilot's body is found after US Air Force F-15C fighter jet crashed in the North Sea 74 miles off the Yorkshire coast ,https://www.dailymail.co.uk/ushome/index.html/news/article-8421797/US-Air-Force-F-15-warplane-crashes-North-Sea-Middlesbrough.html,0
15,"Boogaloo-linked Texas bodybuilder who 'tried to stir up ""guerrilla warfare"" against the National Guard, hunt Antifa and kill looters at Black Lives Matter protests' is charged with running a steroid trafficking ring",https://www.dailymail.co.uk/ushome/index.html/news/article-8423035/Texas-bodybuilder-tried-wage-warfare-National-Guard-charged-steroid-trafficking.html,0
